Name	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22
ACTR3	0.305894506	-0.273330936	0.820902059	1.137762665	2.181534764	1.658405786	-1.494864065	0.5146014	1.204855715	-1.143117557	1.20674361	0.956671664	1.45625943	1.519992684	-0.49747204	1.420326262	1.298495877	1.177018909	1.226243437	1.542936563	0.804841057	1.015716312
ADAM10	-1.488460692	1.410317756	1.281173668	-1.577588434	0.132309953	-1.072498262	-1.505129641	-0.681087303	-0.899316633	0.678685859	-0.576805	-0.292062006	0.550545234	-0.634693229	0.385680651	2.069752395	0.685874696	-0.066718097	2.44938491	-0.180576668	1.146739517	-0.07897827
ADAM11	0.291819221	-0.205341306	-0.165542388	-0.383254043	-1.045765352	-0.038417827	-0.743519159	-0.159781478	-0.583449808	0.429941343	1.329089249	2.374964924	-1.517291409	0.912646979	0.520290442	-0.536636134	-0.466846269	0.995438591	-0.272535776	-0.350757952	-0.214560731	0.473952316
ADAMTS2	0.839013105	-0.053410044	-0.791699525	0.060398609	0.294679433	0.350622801	-0.9469277	-0.419722741	-0.441312852	0.021817896	-0.085729662	0.023147157	1.391049273	0.715651348	-1.309145739	0.451083727	-0.385557721	-1.056787907	0.578088433	-0.559094725	2.670811518	0.392916093
ADGRA3	-3.899333166	0.595097675	1.042465728	-0.111680239	0.226666821	-0.85881149	1.118914528	0.367969254	0.271438019	0.551251761	0.501745809	1.138842082	0.860823435	0.773337143	0.691553082	1.128226647	1.650442308	0.955631102	0.152753081	-0.268404922	-0.34769072	-0.245156326
ADGRE3	0.766493287	0.542980562	-0.633490527	-0.409240948	1.196020684	-0.905573714	0.594729015	-0.237675613	-0.324998463	0.794748462	-0.592078702	0.186126037	0.450753091	0.563313236	0.503778174	-0.476490119	-0.341944616	-0.693429429	0.457317407	-0.270633873	2.254246296	-0.273482273
AGO2	-1.28089075	-0.370488268	-1.805101141	-1.408134906	-1.21498318	-0.620674902	1.938925031	-0.445863001	-1.366226706	0.932639631	-1.284083817	0.119035588	-0.302244275	-0.798335709	-1.245973941	-0.633623491	0.021347171	-0.876635371	2.249644683	0.706356705	0.006941674	1.261881057
AGPAT2	-1.58545692	-0.213067314	0.145792698	-1.029271973	-0.488902028	-1.769082737	-2.08284194	-1.539691683	-1.091059818	1.186393546	0.166216699	0.720335298	-0.941703008	0.63820012	-0.697975978	-1.261978206	-1.376984757	0.784526526	-0.178674515	-0.603484398	-1.761713654	0.404233631
AIDA	0.294136761	0.590317114	-0.367999917	0.242995483	-0.684946836	0.288383716	2.709397184	0.977512371	0.504888644	-0.123638615	-0.525491414	-1.882467402	0.740737645	-0.225782535	-0.668911388	0.438803886	0.20048204	-0.141979055	1.490498815	0.120849536	-0.161917568	1.468040124
AKAP13	-1.034619765	-1.265422429	0.702385151	1.048260249	0.590318857	1.499437112	-1.200515722	-0.141669519	1.142282758	0.529863235	2.238431795	0.05586119	0.486557841	1.280624247	0.02662479	1.224864248	0.9775809	-0.115391165	0.056485728	-1.135217064	1.540004414	-0.934621331
AKAP5	-0.117232783	0.76651626	0.572153307	-0.085059476	-0.878886832	-1.028487847	-0.599922726	-1.035822911	0.951945709	-0.433529127	-0.299342392	1.015568879	-0.675704891	0.48182347	0.887892	2.904587339	2.144076497	1.27838085	-1.038902746	-0.670108052	0.538965909	0.219883163
AKAP9	-2.112841802	0.59933903	0.923005563	-0.356342719	0.498701978	-0.857278401	-1.315175553	-0.308421696	0.328561096	0.931444948	0.173748686	0.233737321	0.190066499	0.547529259	1.605072473	1.906960222	1.586519559	1.55893945	0.359594822	-0.111628257	1.201632986	-2.489166536
ALDH2	-2.517172036	-0.549264875	0.226110938	-1.357834651	-0.646876376	-0.22657332	0.741846212	-0.347259673	-1.239608398	1.041194605	0.159242612	0.126846654	-1.741248672	-0.310472978	-1.108765085	-0.505115856	-0.63964889	-0.297385663	1.601058793	0.519909785	0.093706316	0.410673367
ALKBH7	-0.310113276	1.284654562	-0.229899482	-1.344863711	-0.685909478	-1.98964196	-0.100560577	-0.152682774	-0.923724448	1.274831774	-0.058398068	0.153871645	-0.289491672	0.157610002	-0.360675036	0.473536949	0.193190949	0.327682452	-1.411157958	0.199371521	-1.848851301	0.876463542
ANAPC10	-0.245493874	1.14891111	0.054858888	-0.421883933	0.820054195	1.073284991	1.422882793	0.110956393	1.068459735	-0.1187175	-0.700898208	-1.71856207	1.430261236	-0.358056687	-0.985429762	-0.24309159	0.091520361	0.093697707	1.464776036	2.312466656	-0.642722204	1.5755147
ANAPC5	-1.669152856	0.911829667	0.398066437	-1.16301246	-1.010164142	0.788012866	-1.01051189	-0.218366962	0.861475363	0.569868365	-0.746613967	-0.739851319	0.557482392	-0.270200581	-1.49090627	-0.166367728	-0.383987735	0.254601765	-0.58242208	0.770631956	-0.332583238	0.160908702
ANAPC7	-0.497609698	-2.028134699	0.016498633	1.11768338	0.195523458	-0.060496612	-0.363530161	0.519809698	0.484288579	-0.623254271	0.71459351	1.362710728	-1.269051787	-0.864900609	-1.719629999	-2.211028229	-0.864648072	-0.769511676	1.076050288	0.221343293	-1.590864886	0.937084827
ANG	-1.875403275	1.722593096	1.103907089	-0.795377553	0.729044363	-1.944560985	-0.473274883	-0.816773033	0.437900983	0.604914093	-0.003320604	0.385097716	1.46581968	0.932311948	0.84645729	1.402698567	1.292062488	0.894936922	-0.901229293	-1.70154297	1.293588796	-1.554241465
ANGPTL1	0.180286313	1.376074344	1.277835365	1.108931725	0.949140843	1.941068415	4.248507069	1.390880309	0.243149295	0.448554	1.782429738	-0.289167298	-1.498468043	-0.087283288	0.77422125	1.294069238	1.007310571	1.73446998	-0.868849858	0.061816152	1.890737783	-0.220757496
ANKRD12	-1.411598406	0.618687075	1.8687037	-1.435189014	1.634530714	-0.306626092	0.229504295	-0.581321982	0.15316624	-0.422052273	-0.435991323	0.901088755	0.069631643	0.419825387	0.524508386	1.709400335	1.315014533	0.210925377	1.636956092	-2.115228788	1.252622376	-0.401896594
ANKRD13C	-1.544084432	1.446393641	1.102230948	-1.265850564	1.131757005	-0.672093333	0.51864028	-0.814349273	-0.120491648	-0.49173644	-0.623932032	-0.155792965	0.578867993	0.973255678	0.123263053	1.811843609	0.806321213	1.736621212	0.530416593	0.795555725	-0.027785641	0.929150289
ANKRD9	-3.604400243	0.357882907	0.848439104	-0.292732698	1.03540519	-0.242887352	-1.742017611	-0.280529047	0.08144023	-0.050362065	0.440207034	0.757443369	0.15318729	0.113439501	-0.142621411	1.106360451	-0.470321223	1.056446592	-0.544521896	-2.229866562	0.482212967	-0.447828015
ANO8	1.818691314	-0.866036969	-0.471091123	-0.775363516	-0.599558315	-0.211108119	-1.743394204	0.518876508	0.412564632	1.651186014	-0.460792859	-1.312934629	1.729932128	-0.973587026	-0.699239297	-1.921547057	-0.479925031	-0.585187143	1.653156426	-1.130498491	-1.696702397	1.222849589
ANXA11	-2.984897604	0.493434487	0.513272066	-1.192497317	0.973344757	0.030947049	-1.287184175	-0.347638934	-0.631346495	-0.823474212	-0.425380393	1.250158477	-0.55495624	0.663150416	-0.182693546	-0.271123853	-0.668832412	0.35341158	0.409024479	-0.637517381	0.555470622	-2.307215651
ANXA6	1.92876549	-0.70381127	-0.730707232	0.288094009	-0.464037457	1.068269601	1.642127791	1.239268526	0.337626641	-0.018651595	0.645343544	-0.546009417	0.152169912	0.119482935	-0.492235896	-0.685549389	0.091362282	-0.393126319	0.161178488	2.256437684	0.296091691	0.841124352
AP1M1	1.532101461	0.054595497	-1.083448623	1.004460462	-0.694866309	0.442507334	2.267917581	0.886988994	0.210362063	-0.552611814	1.313465238	-1.953162994	-0.764411034	-0.205779595	-2.557392375	-1.547324663	-0.734670397	-0.732881608	1.274737685	0.83656435	0.994669431	0.428988887
APBB1IP	2.44572128	0.515099151	-0.625384775	1.149525819	0.154998939	1.045361464	-0.660563179	1.580508475	1.130855525	0.370122185	0.827994258	-1.089925211	0.770851217	0.081803271	0.062253652	-0.331130931	0.941239723	0.276291905	0.668065991	-0.748460357	2.106842537	-0.772714993
API5	-0.744260849	1.00432766	0.20644748	-1.641604144	-0.930825538	1.055379767	0.641334834	0.156589445	0.527408672	-1.345916076	-0.123197331	-0.826223719	0.95586558	-0.186006108	-1.35037146	0.047494289	0.05235626	0.72890488	2.633033884	2.609891649	-0.881918789	0.817305582
APLNR	1.217874564	-0.169500965	-0.455161613	-0.505903804	-0.087145385	1.517271896	-1.225879547	-0.40406554	-1.823921433	0.648096871	1.022391413	0.309167274	-0.004056992	0.169962576	-0.568380207	-0.207366177	-0.648021701	-1.082042306	-0.479776358	0.046425941	0.444790601	-0.686210311
APOBEC3D	-0.075048019	-0.521259795	0.324403418	-0.147179393	0.700429975	-0.319258586	-2.064337862	-0.116140198	0.440421841	-0.18732184	0.703507009	1.140014469	-0.808244752	-0.318797391	0.67877499	-0.667289483	-1.450013189	-1.229532053	-0.92497445	-0.232414727	1.208966951	0.418046042
APOLD1	0.236051852	-0.186730272	0.212992712	1.492565092	1.60852153	2.435130331	-0.206318528	0.069888598	0.543568622	0.512725731	1.672875449	-0.535613969	0.769663382	0.277775555	-0.430798365	-0.198431681	-0.392125048	-1.294232117	0.158791908	0.173338184	1.372968764	0.277544451
ARHGAP42	-1.451785629	0.878691406	1.531359185	-1.138316655	0.288651476	-1.047072306	-1.309665473	-1.128220489	-0.234964353	0.119662505	-0.078846449	-0.336702293	0.087691586	0.756278388	0.867522448	2.00957823	0.813743344	1.74899961	-0.011442172	-1.331582359	1.926841025	-0.719741138
ARHGAP44	-1.70608674	0.68529629	0.821062646	-0.961318784	1.074002561	-0.559819346	-2.666068221	-1.319396575	0.279889694	0.782081202	-0.009237001	1.063545415	-0.942484028	0.767116932	0.876212157	0.799812358	0.890832672	1.549700979	-0.498582468	-0.498865027	0.941359069	-0.940457619
ARHGEF19	0.157448382	-1.805395365	-1.276589928	2.485696924	-1.223748579	-0.776984646	-0.530950661	-0.559490597	0.199562611	-0.089617102	0.538322258	-0.518981506	0.610913715	-0.688175647	-0.395556162	-1.953769384	-1.605832963	-2.128589703	-0.568564778	0.308871534	-0.655650334	-1.088850587
ARL8A	1.720858624	-0.675840308	0.375286202	-0.320116254	-1.68153036	0.918292083	1.367545406	0.009916792	0.319190282	0.275393601	-0.142203775	1.154181321	-0.221572629	0.569841016	-1.498512396	-2.163768429	-1.072306015	-0.472268638	1.318206581	0.590894717	-0.331777389	1.337962492
ARMCX6	0.649132823	-0.619629137	-0.377946715	0.761973054	0.103149426	1.179668058	1.589942441	2.063046229	0.514206452	-0.832509396	-0.202593403	0.140395858	0.702887349	0.210504317	-1.056528258	-0.503046713	0.836063899	-0.609494116	0.468735807	1.461851222	-0.585349737	0.268636947
ARVCF	1.17444187	-1.512758432	-0.833916962	0.461881602	-0.438794295	0.074571033	0.397535037	1.079597974	0.088311083	0.188271442	0.940325111	0.571110718	-0.501875758	-2.305439921	-0.68448298	-1.960648066	-0.726331133	-0.746052131	-0.87674207	0.120493977	-0.833240212	0.702881711
ASB7	-1.888267841	0.112491782	0.687886606	-1.05901701	1.228237616	-1.222287181	-1.212839451	-0.229901862	-0.289305875	0.285811179	-1.5136506	1.038294988	0.083217762	0.420611537	0.524023055	1.549932946	0.209449773	1.073463674	1.828468662	0.328850279	0.201105619	-0.237278979
ASCC2	0.246846263	-0.857706752	0.483962846	0.657357803	-1.299050488	-0.902781708	-1.937907513	-0.907930688	-0.862962909	1.94046627	1.2168778	0.424718191	-1.61899857	-0.407605377	-0.348258178	-0.122869551	-0.455856433	1.293208658	-1.262516806	-0.569587456	-0.427007879	0.416394042
ATP11A	0.181689028	-0.577016548	-0.646257684	0.242934173	0.993893116	1.714572646	-0.101523083	0.034751567	-0.281330966	-1.53577076	-1.06179497	-1.104647721	1.528565532	0.223228309	-1.699976609	-1.259265475	-0.705629316	-1.247738947	0.093592421	2.112742771	-0.237891975	2.146429153
ATP1A2	0.558255818	0.150970699	1.515968769	1.106678792	1.43882571	2.163705128	3.631210355	3.301718235	-0.278557349	0.159964063	0.986251854	-0.184727566	-1.02362882	-0.957005269	1.068279696	0.33518113	2.168911331	2.832282141	-1.437729889	-1.101229329	-0.207687768	-0.445790189
ATP5O	0.472202654	-0.587418712	0.51175695	-1.405799234	1.382283253	-0.705187105	-0.080377413	0.927417603	0.060744758	-1.725587778	-0.26435214	0.426793631	-0.027966575	-0.274120378	-0.644243532	0.444595978	0.3669003	1.515960146	-0.269140855	1.041239195	0.444595978	1.618653862
ATP6V0D2	-0.718269613	-0.061752453	0.032453988	0.968871663	0.283615207	-0.106631003	-0.695517324	-1.374111349	0.273350998	0.5340688	0.232332743	1.043935265	-0.501675985	0.22872967	1.25658592	0.707215809	0.542228119	0.342246245	0.537644897	-0.744420666	2.589812919	-1.983379528
ATP6V1B2	-0.954050647	1.127028253	-0.033665982	-1.788453904	-0.452192089	0.481681814	0.597524494	-0.219474711	0.157773745	-0.139022612	-0.303810039	-0.732187295	0.63760299	-0.005736626	-0.902224151	0.311415565	0.681150438	0.11270778	0.944254077	-0.310690051	1.877591481	-0.127622304
ATP6V1H	-2.221321987	0.333438474	0.552408244	-1.544921456	0.338398481	-1.23545984	1.262591791	0.245827658	-0.460272755	-0.447775793	-1.713986431	0.040728112	0.434595657	0.512320281	-1.727139526	-0.303476455	-0.582688053	0.126346892	0.330333716	2.602612075	-0.175940517	2.124753858
ATP8B1	-0.877355895	-1.053372226	0.064147067	-0.487280192	-0.776649549	0.314875808	-1.643496167	0.183819128	1.31729668	0.170140554	1.600257492	1.13899851	-0.432916149	-0.326681123	-0.181445375	1.470465683	0.655295261	0.080598549	-0.662700802	-2.00363527	-0.384596645	-0.830490132
ATP8B4	-0.030659953	1.071017356	0.218560284	-0.552511472	-0.07162156	3.710972514	0.053904448	-0.717108458	1.391374018	-0.16021947	2.007248697	-1.069991914	-0.791250024	0.115468227	0.684108655	0.823912985	2.499569126	0.656559786	1.196086111	-1.016944106	1.480512773	-0.479961446
B3GALT2	1.182157202	1.184636499	0.897374612	0.427478303	0.528116382	-0.562680877	4.903275793	0.200538323	-0.686201017	-1.091427075	0.020537098	-0.023244022	-0.005567904	0.728081589	0.620617385	1.631145397	0.099760188	0.213978543	0.629701211	1.631145397	0.391210323	-1.269138692
B4GALT6	-0.638135816	-0.115820116	0.325491426	-0.2216648	1.695344636	0.577688549	1.234221066	0.377777224	-0.236625084	-1.88149394	-0.072863754	0.921191404	2.12453415	-0.288571192	-1.276370944	-0.354140195	0.527831595	0.109122641	0.21398316	0.455539769	-0.933217425	1.030940059
BAG4	-2.072940211	1.441057873	1.048864352	-0.780004166	0.709951495	-0.246920761	0.048544182	-1.023645035	-0.284927007	-0.203049746	-0.775071406	-0.337060044	1.112759229	0.581136363	-1.211232432	0.442890768	0.571648433	0.288733576	0.973984695	1.930014167	-0.633414757	0.792925441
BAMBI	-1.334672367	0.537966997	1.972848569	-0.399319563	0.808207603	-0.767298155	-1.61729933	0.060057984	0.456228387	0.423988874	0.883804537	-1.619058018	0.088881588	0.411206788	-0.78607656	-0.207087376	-0.737957432	-0.629696141	1.486101564	-2.008120683	0.6137786	1.213032758
BANF1	0.846424035	0.383081938	-2.146907801	-0.15595421	-1.142707931	-0.665299514	1.262726734	0.645092481	-0.777463797	0.216873959	0.178272592	-0.200452183	0.318870438	-0.817666829	-1.756273604	-2.278672245	-0.551658341	0.1431543	2.25245959	-0.356264309	-2.197212634	1.903965753
BAZ1B	0.621669058	0.191362144	-0.376494741	0.334643307	-1.350837017	-0.297155214	1.430812692	1.051336395	-1.488034415	0.242626318	-0.178553936	-0.166596137	0.754754632	-0.25401264	-1.891466826	-1.538139559	-0.711129577	-0.103350194	1.092675901	1.142783393	-2.181840901	-0.057830974
BCAT1	0.451330172	0.787836239	0.437794152	0.939146316	1.232905457	1.899778016	0.163454271	0.173370318	0.154859412	-0.351214089	-0.244141475	-0.353238268	1.849844601	0.874221811	-0.303793602	0.536057475	-0.048702165	-0.163779446	0.554952943	0.164501283	2.417052886	-0.187200251
BCL11A	1.937079067	-0.586032671	-1.072708847	0.177351189	-0.222395545	1.215285202	1.507567233	1.584419644	0.540611479	-0.631233167	-0.71101298	-1.35711018	0.561107396	-0.753933489	-0.576557329	-1.221726529	-0.306871703	-0.270115035	0.732673116	-0.32460997	-0.84687502	-0.789448655
BCL11B	1.968954809	-0.409959645	-0.809743616	0.179121375	-0.15075469	1.788883543	-1.570027675	1.5306051	-0.021779901	-0.338939648	-0.296177735	-0.754113259	-2.555060251	0.182889342	-1.802873004	-0.450504182	0.604579081	-0.335589775	-0.020878937	-0.347570374	-0.433140581	-0.569933514
BEND3	0.309528855	0.973880067	0.272198698	-0.724585544	0.426248464	-1.985477625	-2.698567915	-1.573649632	-0.352391795	-0.09244554	-1.413862959	0.50880282	0.11165994	-1.197945138	-0.50223675	-0.647847064	-0.193018179	0.635885403	-0.182030135	1.355913427	-2.092180214	-0.598391178
BEX1	0.340196163	0.083697697	1.399958366	0.62062752	0.831401922	3.259694447	3.121538863	1.100782859	-0.152092102	-0.123383885	1.250152323	0.088311757	0.063106207	0.851142592	0.264072702	0.423601192	0.755634665	1.534925682	-0.808372142	0.725753583	-0.272865154	-0.451949388
BMP2	-2.65347531	1.022514589	1.378074628	-0.174868666	1.56869553	-0.138972856	-2.523941714	-0.7152791	1.848016635	0.391561491	0.65565521	0.648434006	-1.800130625	0.961513504	0.626088733	0.533244156	0.225111632	0.418869893	0.139767482	0.100543338	1.454300408	-0.983800989
BMS1	1.090267721	-1.498778148	0.122934581	-0.746940935	0.512717922	0.08754544	-1.345412258	0.018862939	0.79614862	-0.888384336	0.358053602	0.541939528	2.414101164	-0.242837013	-2.195463876	-1.184825405	-0.233794113	-0.356710646	0.033757035	1.186308123	-1.438427634	0.167411752
BMS1P20	0.422112333	2.514713133	-0.790855659	0.481329338	0.524446795	-0.86802012	-1.566555099	-0.33255027	0.144080745	2.063272953	1.299020027	-0.667891122	-2.515693933	0.082971808	1.111247463	0.396468317	0.927461089	0.422213916	0.559946828	-1.235796742	0.541692883	-0.051699138
BPNT1	-2.704988652	0.195373188	1.067070017	-1.084098332	0.570707664	-0.196732043	-1.948833402	-0.706154444	0.579741413	0.205819468	-0.541123464	0.580609563	-0.7162923	0.619269717	0.051631876	0.941231353	-0.328943792	1.064357314	0.517068163	-0.903926557	0.344533085	1.317265397
BRAT1	0.167294433	-1.446103527	-1.950333162	-0.029752021	-0.782529653	-1.013232654	-0.030853728	-1.00794904	-0.572592664	0.335994294	1.681175647	-0.542324252	0.898288168	-0.854598678	-2.2186601	-2.813199318	-1.009251651	-0.852333543	0.857907031	-0.160715515	-1.278396516	2.199901607
BSDC1	-3.046224326	0.565948477	0.377990153	-1.399804268	-1.012951489	0.199728757	-0.797198936	-1.046511432	-0.068364885	0.139935892	-0.084205939	0.469280464	-0.563994608	-0.37108206	-0.66846669	0.478015773	-0.077576443	-0.006276472	-1.373812226	0.95178939	0.072861981	-1.086086854
BST1	-0.410850838	3.416466308	0.343586197	-0.561758515	0.120941049	-0.994777543	-0.882893586	-0.591325504	-0.635387045	1.666048886	0.072042321	-0.954116571	0.446756649	-0.287152104	-0.142834936	0.229909821	0.861887064	-1.185555296	-0.904215509	1.313208503	2.379125517	-1.318212715
BTBD16	-0.237250122	0.27325625	0.762330851	-0.538019586	-0.301589991	-0.726923968	1.835190387	-2.503052789	-0.237250122	0.128182405	0.200355772	-0.208890864	0.63690481	0.412750734	1.39020349	-0.909792938	1.223419524	-0.118624314	3.769773372	0.527506654	-1.708254319	-0.235364626
BTD	-1.674141057	1.414651528	1.310178422	-0.648190125	-0.126379359	-1.973250252	0.101833403	-0.505792307	-1.293809444	0.937484268	-0.359429445	-0.585584686	-0.282134722	1.431460077	0.667023301	2.79950832	1.34669457	-0.055923856	0.371920223	-1.421867358	1.330621333	-0.831906849
C10ORF12	-1.123556298	-0.32619832	0.246898391	-0.681891076	0.748674361	0.468945593	-1.906809616	0.029552352	0.404463368	-0.462167271	-0.714371485	1.508051238	-0.167838517	0.63102309	-0.103660689	0.884818476	0.667706709	2.378600303	0.543828337	1.292049592	0.573720456	-1.272509914
C12ORF65	1.305446147	-0.8742903	-0.556025072	0.803670149	0.626256245	0.467381166	-2.024149402	0.832947833	0.22739177	-0.648499769	-1.087415395	-0.437969509	0.226053615	-1.854646462	-1.26835177	-1.224487347	-0.729478867	0.020836598	-1.171819885	0.79135074	-2.204598738	0.574644441
C14ORF79	1.380122969	-0.441666076	0.096642298	-0.038370626	-1.322328613	-0.42255475	-0.771455597	0.523734642	-0.349235692	0.38165237	-0.010895631	0.075196261	-1.19551949	-0.497555306	-1.157251729	-2.086731814	-0.987968574	-2.247110401	0.381469789	-0.521538096	-3.078278907	0.969372638
C17ORF53	-0.239896694	0.515391168	-0.673593305	2.327302086	-0.861303246	-1.954022215	-0.423952589	-0.562082672	-0.005026392	0.46951879	1.305071346	0.322488481	0.337600458	-0.908489157	0.991201578	-1.219657517	-0.875964437	-1.228434624	-1.532114098	0.666904494	0.762304555	0.421199754
C19ORF33	-2.088257479	0.35994617	0.892769303	0.102146654	0.497662588	-0.727695704	-3.368480595	-0.366112637	-0.248408333	0.653181267	0.703400437	1.389536632	-0.177183906	1.214331605	-0.204068664	0.786855595	-0.151827493	0.4170667	-0.816879947	-2.430949486	-0.698489808	-0.704151126
C1ORF105	2.296147988	-0.972004402	1.572566636	0.029074108	-0.353720273	0.381915846	-0.785361002	0.437995518	0.428644573	-1.813709418	0.336861998	0.494674278	-1.38758751	0.323531607	0.854026689	0.168597755	-0.51808482	-1.012035955	-1.568966503	-1.551722121	-0.196024529	-1.21745859
C1ORF74	1.077918757	-1.558988882	0.818949465	0.731499886	0.034254137	0.291407941	-1.578292211	1.038434082	0.479153117	-0.02925978	0.157087079	0.040997332	-1.679135788	-1.327691759	-1.364555907	-1.520898475	-3.479034503	0.141971091	0.143089489	0.94558568	-0.723565486	1.022049558
C1QB	1.29994546	1.783851514	-1.264677355	0.559533427	0.163430787	0.141424944	-0.170371274	-0.10992983	0.604411177	1.414254366	1.832598879	-0.399639466	-2.052851068	-0.777151648	0.170300814	-0.248853954	1.049285085	0.067233241	0.461697437	-0.159537243	1.617785071	-0.704160917
C1QC	1.787171815	0.848942095	-1.227750569	0.462223312	0.066114118	0.255081699	-0.107184009	0.698848338	0.61997024	1.56669132	1.895404182	-0.430360476	-2.226351742	-0.628504491	-0.104469689	-0.715921762	0.624006332	-0.055257757	0.543470774	-0.313850118	0.307199175	-0.772684786
C7ORF49	1.030784755	1.016149418	0.242968122	-1.722521797	-0.732713689	-0.356938373	-1.275174598	-0.3689813	-0.881569121	0.286257381	-0.412277719	-0.66110315	-1.217868583	-0.038869847	-1.12802449	-0.170662255	0.192247994	0.090088086	-1.335725009	-1.216567563	-0.465253774	0.927046837
C8ORF59	-0.444814455	-0.134760673	-0.027981372	-1.303543048	0.374184096	0.40150046	0.959524373	0.473876843	-0.103197793	-0.441059233	0.614196684	-0.441059233	0.184568916	0.550005494	-1.010262155	-1.85546934	-0.600051099	-0.635939027	0.34277895	2.412774726	-1.516667544	2.10832897
C8ORF60	1.023204658	-0.236447354	-1.361592808	-2.102740186	0.209184455	1.037755184	0.510782863	1.607438929	1.481567154	-0.820030164	1.067661682	-0.765051115	-0.185630891	1.471635897	0.19584386	-0.146535618	0.206755173	0.981148911	-1.248038608	0.106537496	0.538091044	-0.331018006
CA12	-3.174056031	0.430807028	0.88158593	-0.116993477	0.48701688	-0.245344404	-2.395014514	-0.651310949	0.407821211	1.037172592	0.685975134	0.658881953	-0.304218174	0.321471686	0.746558998	1.54717115	0.946011065	0.26118687	-0.772430099	-0.540821901	1.440197605	-2.281962947
CA4	-2.291707711	0.942787447	0.790752271	-0.197818126	0.480213109	-1.957553505	-2.322522575	-0.753844179	0.193950315	1.161033098	0.838274529	0.754742222	-0.791512983	0.804147135	0.871097466	1.386784047	0.288350391	0.144787032	0.302111628	-1.388983981	1.310419103	-1.009280712
CACNA2D1	0.075400462	0.162523182	0.668752044	1.374275814	1.093580631	1.514065557	3.205248675	2.622029718	-0.269366112	-0.31399057	0.83338124	-0.166775132	0.390061676	0.728188949	-0.203046488	0.837553879	1.332716964	1.069897	1.003032207	-0.622778272	1.667942604	0.266728612
