Name	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39
ACTR3	-1.452184573	0.105675366	0.386940952	-1.229168777	0.455207812	-0.09868738	0.004959615	0.663779883	0.771229495	-1.085040749	-0.202165461	0.410474323	0.182508989	0.951457746	-0.494711168	-0.286959002	-0.701861572	1.279344943	-0.489230109	-0.375762824	-0.814944031	-0.199507829	-0.37309446	-0.38410557	-0.656886865	-0.554626703	-0.908730188	1.336688156	1.433934104	-0.999752882	-1.687681615	0.265472993	-0.107271202	-1.248051049	-0.97832167	-0.379382454	-1.299385766	-0.892599787	-1.806565102
ADAM10	-0.789323367	0.530815209	-0.650990323	-0.877219968	0.975378364	0.631516993	-0.605396376	0.190904823	1.854130149	0.713405743	0.301525298	-0.01828123	0.561022735	0.190904823	0.680388709	0.638675983	-1.36888203	-0.165694675	-0.016905313	-1.217952248	-0.531050989	-1.734843056	-2.700514989	-1.12615655	1.093805878	0.178941807	-0.463928417	1.94350242	1.327467499	-0.999295643	-0.29567028	0.572584945	0.638675983	-1.949635007	0.024133272	-0.377589545	-0.342102158	-1.347736928	0.150517455
ADAM11	0.140603128	0.02015934	0.536658625	2.184678339	-1.07677404	-0.199500926	-1.027599455	-1.132357797	-0.830766113	-0.64019687	1.469643151	-0.339734414	-0.166034201	-1.424780457	-0.544925406	-1.970537894	1.389130559	1.465825095	1.673156683	1.41851865	-1.394314799	-0.724079321	0.182079975	-0.342212786	0.353229494	2.199781898	-0.366288236	-0.899818607	-2.104381429	1.376977087	-0.404985569	0.787381926	0.00133798	0.559231531	0.329875782	0.730235145	0.964967318	-0.15937481	-0.305583997
ADAMTS2	-0.225115649	-0.959445657	0.179234038	0.159732778	-1.269391403	-0.467129862	-0.979497357	-1.023560936	-1.498754748	-1.394408184	1.014468422	-0.361428035	0.521124792	-0.940414106	-0.203540642	0.92187419	-0.392084951	-0.075890537	0.647358828	-1.128829816	0.376283596	0.41538094	0.359156923	1.920127764	0.474735529	-0.934986905	0.276702316	2.016926322	1.163431322	-0.883379466	0.947990028	2.440697193	1.375363582	-4.44E-05	0.379376488	0.966899953	-0.254053988	-0.215113454	0.456453704
ADGRA3	-0.306671521	-1.288928413	-0.700608947	-3.166377454	0.590805968	-0.958425072	0.860401212	1.098827258	0.905992151	0.321551544	-0.40361766	-0.235753174	-1.262012678	0.247016913	1.592355941	0.613869201	-0.388991	-0.676078793	-0.495725146	5.88E-04	2.094026798	0.130334226	-0.286485992	-1.462971485	1.092422271	-1.433618403	-0.209847064	0.898520699	-1.144367768	-1.302099077	-1.266948905	-0.467663511	-0.072462453	0.247309821	-0.922413053	-0.140465658	0.207984144	0.746577323	0.495202197
ADGRE3	1.306284577	0.12727381	-0.15924296	0.146811712	-0.606245764	-1.344566878	-0.416246155	-0.713226272	-0.822366955	-0.533421956	0.499407997	0.719780856	0.675696643	-0.300024395	-0.00683092	0.524191211	-0.416246155	0.308108228	-0.284908187	-0.512717417	-1.177664244	-0.861273026	-0.561380019	5.663021531	-1.401731958	0.122531614	-0.456804472	0.432723891	-1.656692449	-0.643762058	-0.77808057	-0.764655252	-0.45119073	-0.471470308	1.412722934	0.248834278	-0.248499545	-0.22381355	0.431426253
AGO2	0.573936212	0.173836893	-0.765612751	-1.400275142	-0.897729336	0.01324221	-1.001217459	-0.652575271	0.322874654	-0.85074404	-1.310472218	-0.535642172	0.759916273	-1.23623094	-0.897105817	-0.24558114	1.53283858	-0.299462158	-0.682906164	-0.881051852	1.983263825	1.440430125	0.410118744	-1.130217659	0.367063721	-0.783171094	-1.218619387	0.837081949	1.517996627	0.429574749	1.017682777	0.836521188	0.813398322	-0.811246975	-0.159424559	-0.740389324	-0.098365013	-0.054695325	1.373233855
AGPAT2	0.561765465	0.436423296	0.4796848	-1.112004675	0.477841713	1.646923493	0.421498641	0.309351155	-0.074824629	0.20324531	0.869395863	1.08753215	1.768660996	0.172699528	0.66284326	-0.009420667	2.216892781	0.332440759	-0.303559676	1.041183476	-1.808187501	0.037022843	-0.075627491	-1.2596879	-0.792329334	1.055747679	0.302663664	-0.928256864	1.743510336	0.764204979	0.19720902	0.342095393	-0.655509389	-1.007062433	-1.498339356	-1.045778027	-1.136724311	-1.894033294	-0.41679685
AIDA	-0.287525883	-0.26055635	0.788290715	-0.484842836	0.420303668	0.185068116	-0.018944501	0.420755529	1.236597233	0.208365673	-0.002470965	0.430540982	0.864772683	0.266243828	0.535169584	0.604343714	0.527544147	-0.103234059	-0.49944237	0.303196554	0.226399148	-0.274142219	-1.26988043	-0.36468145	1.22689921	0.619319766	0.108671029	0.889003148	0.610216717	0.115128812	0.169523431	0.500899389	0.611979955	-3.264266316	-3.549026543	0.181244587	-2.532588026	-3.370105448	0.140345792
AKAP13	-0.577011909	-0.23985443	-0.846882351	3.122002796	-0.140017975	0.128761824	0.220354268	-0.77181818	0.55566851	0.345905367	-1.51575301	-0.093598408	0.744953226	0.394184972	0.048692703	0.279619286	-0.675483353	-0.295277008	-0.784452642	-0.889939204	0.090705702	0.458254183	1.199715044	-0.36619874	0.21611327	-1.610914958	-0.521039134	0.698329142	0.56463199	-0.270486779	-0.110048278	0.894508446	0.804665902	-3.110842133	-2.93099528	-0.219046774	-1.401706865	-1.26502369	0.119384394
AKAP5	-0.903038099	0.191892176	-0.79659829	0.496896153	0.956512449	-0.829233472	0.499439952	1.147121619	1.71020278	1.523932224	1.559364981	0.363716167	-0.335624675	2.272651253	-0.167052385	0.373701526	-0.021773037	-1.087720329	-0.866183472	0.890233169	-0.531800186	-1.968606747	-0.639110591	-1.382434732	-1.955724393	0.524561982	-0.834061916	-0.025701439	-1.139461276	-1.012017027	-1.610204306	-0.178293117	-0.454038012	-0.269727655	0.744664282	-0.410390394	0.269801693	0.358001017	-0.132137513
AKAP9	-0.552256379	-0.284029176	-0.150524496	-2.521697585	0.734491135	0.486719084	0.708002974	0.900500346	0.741875595	0.797470397	-1.255507228	0.394784867	1.202988811	1.400180621	0.755415269	0.393173349	-0.440523386	0.837607948	-0.519365076	1.037703952	-0.273827565	-0.435626376	-1.914767216	-0.634102123	0.268799093	-0.544353594	0.045515836	0.105133289	1.852903525	-0.181475837	-0.773623545	0.734491135	-0.17203522	-0.738274238	-0.711059393	-0.452607462	-0.938594247	-1.040322194	-0.065451522
ALDH2	0.028179171	0.313581577	0.239286369	-2.114941705	1.372367659	0.762936664	0.947564369	1.917727188	0.146461898	2.187166245	0.636267596	0.718981783	-0.99158724	1.116545611	-0.111741098	0.740928288	1.323146275	-0.015069529	-0.578106692	-1.14074578	0.398450653	0.789621622	0.316377858	-1.909476338	-2.167488985	-0.990468274	-0.663064163	-0.2434703	0.583447294	-0.507748945	0.560294101	-0.410661672	0.70954664	-1.11530594	-2.421905638	0.401204266	-0.445641033	-0.211307906	-0.535343304
ALKBH7	0.980294126	1.144797353	1.215247631	-2.397288991	0.572740648	0.867155936	0.161621635	0.505772228	0.64259144	0.22083312	0.949107593	0.974116332	0.198347532	1.234914165	0.205986033	0.048882677	0.517652947	0.070167785	-0.055497768	-0.116066345	-1.698020624	-0.39934188	-3.419092785	-0.895155512	1.245680751	1.059613342	0.414013188	-0.29331627	-1.182712727	-0.190378611	0.193209558	0.969038445	0.075295355	-0.34285626	-1.804344439	0.367819699	-1.366173278	-2.142157916	-1.025245951
ANAPC10	-0.022207195	-0.432883225	-0.15791733	-0.992214881	0.744682592	-1.041986707	-0.051263347	0.440190528	0.920856835	-0.024564424	-0.70465128	-0.051263347	-0.470839508	-0.413798971	-0.450235171	0.339687171	0.661244232	1.293795261	1.184887694	2.27115539	1.264273612	-1.31599403	-1.651632061	-1.477334546	1.35684508	1.793305302	0.173861559	1.094570458	0.961353263	-0.530815596	-0.695558678	-0.948154413	0.016433465	-2.141389317	-1.792429735	-0.480807084	-0.811005077	0.138561846	-0.133005177
ANAPC5	-0.649936871	1.134996447	1.451353406	-2.009895714	-0.157651113	0.335153375	-0.003103733	2.103541354	0.107867523	0.078467234	-1.301660044	0.847349521	0.431719481	0.641424342	0.321973963	0.353898719	1.209457569	1.084462181	1.144832082	1.226188872	0.572186995	-0.601879099	-2.947710105	-0.36205618	0.729840425	1.129156753	-0.175424988	0.191594591	-0.664866077	0.587421844	0.481275903	0.559860932	-0.287849763	-1.852179044	-2.757508636	0.077910227	-1.034175596	-2.090314543	-0.894493083
ANAPC7	-0.099716907	0.541548816	0.998275955	0.644496125	-0.023139421	-1.650977592	0.128669147	2.160650298	1.352205481	-0.145844541	-0.872317645	0.902905699	0.707584643	-0.317133553	0.168610379	0.957520164	-0.587723859	-0.476179716	1.354033248	-0.649800483	0.707452168	0.638617878	1.209567004	-1.266073517	0.391018925	-0.028585046	-0.601247214	-0.236703603	-1.990226227	0.220370692	0.519476362	-0.806031741	-0.574084755	0.206694363	0.173321332	0.888530306	0.384780668	2.670810478	0.107702478
ANG	-0.588260843	0.620647112	0.288920325	0.322549804	0.593467761	-1.353793277	-0.460223882	0.844453855	0.539770038	1.122020432	0.947163421	-0.28959927	2.148887313	0.883640061	0.290589971	-0.347004786	-0.921530587	0.208101689	-0.485794925	0.887051121	-0.338423329	-1.018945088	-1.184290472	-0.741065413	-1.858185285	1.062880856	-0.930877234	1.096925755	-1.410427828	-0.247648977	-0.47965517	0.066071537	1.221471863	-0.588166478	-0.126493615	-1.168253514	-0.871052581	-0.739956376	-1.209638942
ANGPTL1	0.041306948	0.035605281	-0.452716789	0.001981973	-1.204265196	-1.139379742	-0.003166035	-1.297092596	-1.121979597	-0.65783711	-0.393127162	-0.506918798	-0.982426378	-0.293741619	-1.031262046	-0.79225872	-0.920051036	-0.574582014	-0.841616679	-0.353416358	-0.30065521	-0.876196816	-0.146256309	-0.644902666	2.004493595	-0.954065624	-0.771081498	-0.284409547	-0.678909685	-0.775134936	-0.603425031	-0.020871567	-0.779897204	0.087500313	0.204534935	-0.738688431	-1.079813572	-0.606767433	-0.626131912
ANKRD12	-0.629382336	-0.135206271	-1.550053229	-2.376877819	0.543363209	-0.024068794	-0.83230848	-0.578360609	-0.187661996	1.052515446	-1.50481108	0.216384138	1.365778224	0.347055908	0.676206686	1.199503153	-1.335499031	1.00346313	-0.492775261	1.228391354	0.477905305	-0.730595043	-1.41117912	-0.648730142	0.815609475	-0.284244347	-0.91781788	1.032772257	1.846387729	-0.810043334	-0.08104694	0.450556209	0.11605284	-1.194173449	0.575739714	-0.925917998	-0.579155318	-0.228899334	-0.65144264
ANKRD13C	-0.582567777	-0.21004717	-1.132783639	-3.294690376	0.429912323	-0.89077174	-0.177732068	0.530342304	2.134176603	0.066881123	0.705541914	0.784951744	0.004124116	-1.104597225	0.546116962	-0.147141177	0.162282232	0.154154985	0.024708196	-0.191295155	1.15531619	-2.122706887	-0.328346359	-1.619480286	1.453528387	1.860479784	-0.196908668	1.419827555	1.498399651	-0.761153074	-1.020666303	0.253822783	0.052605412	-2.111831087	0.159668177	0.632009525	-0.283797484	-0.827656426	-0.392053925
ANKRD9	-0.161975686	0.334545463	-0.318795968	0.104410473	-0.168274753	-1.892876328	0.290967242	-0.785187041	-0.208501467	0.062185049	0.607699804	0.257630256	-0.119982682	1.184339511	0.507200912	-0.536799901	-0.601667254	-1.828960967	0.365967095	0.83837549	1.513698133	0.465956542	1.727783353	-0.630315982	1.470907272	-0.093335163	-0.932780122	-0.682707727	0.082045287	-1.642258624	-1.666341161	-1.279839189	-0.387285068	0.966759953	1.462935424	-1.738340448	1.577220074	1.437444263	-1.200627722
ANO8	0.371413389	0.173945752	-1.42338367	0.964052469	-0.633969865	-0.303934682	-0.247601673	-1.043035688	0.603191261	-0.036937545	0.429474779	0.02897752	1.413064538	-1.36422131	-0.414546042	-1.010048633	-0.571664177	-0.586918523	-0.550648717	-0.041255828	-0.998485284	0.883041097	2.700376816	2.098728417	0.57752793	-0.568628208	0.185926101	-0.426261413	-1.673323548	0.851448965	0.205812443	1.415807064	0.519691215	0.586304371	0.515410593	-1.035932874	1.674732309	1.876422584	-0.939489894
ANXA11	-0.336252577	0.603212074	0.26870437	0.011648047	1.247231297	0.490701319	0.932431996	-0.201388884	-0.308959949	-0.202987969	0.835633022	-0.404458655	-0.182476768	-4.23E-04	0.846596972	0.066526455	0.500968731	-1.398440473	1.021821057	-0.753551098	0.74402374	2.28470555	2.143761558	-1.025534755	-1.404022065	-3.088510266	-0.181996024	-0.334892664	0.192496319	-1.433293238	-0.347035473	-0.356123647	-1.95804321	1.70149971	1.030563541	1.014133545	0.894010366	1.512759666	0.261109782
ANXA6	-0.300163989	-0.939583086	2.41696712	0.158807482	-0.342255523	-0.335815836	0.128075829	-0.49429961	-2.784948775	0.229624202	0.180576262	0.260859021	-0.122233567	0.25641923	0.410316158	0.158762629	0.105831703	0.122233965	-0.710087215	-1.314831716	-1.394397464	-0.254543897	0.563533842	0.679664452	-1.308197295	0.76603176	-0.729823915	0.877726136	0.400345556	-0.141737645	0.92926489	1.418946815	0.947486529	-0.451931459	-0.912173922	0.039839075	-1.773282324	-2.26292521	1.346438726
AP1M1	0.754104415	0.440340233	0.580348986	-0.644985201	-0.319810261	0.852324045	-0.202125838	-1.934996506	-1.681110332	-1.790789817	-0.517266642	-0.610908722	-0.348876167	-0.234247016	-0.463622872	0.408628301	0.243644742	-0.910274053	0.926932995	-2.365358806	0.022087385	0.784469396	-0.783306051	1.153896039	0.446430966	-0.118743939	0.58041515	0.080617599	-0.077338888	-0.597419652	0.245246318	0.20499631	0.055418648	0.638014574	0.510085779	2.311297387	-0.124830848	0.028709038	0.342141245
APBB1IP	0.44348041	1.146664385	0.011566857	1.684338838	0.254813269	-0.642349687	-0.094962587	-2.224683251	-1.86588895	0.547922462	0.7274138	-0.211666725	0.291523643	0.009590905	0.592491136	-0.122697984	-0.829238289	-0.885466037	-0.612853141	-0.35775359	-1.618269946	-0.301467206	0.312503485	2.341515791	-1.444112624	-1.894718468	-1.183311152	-0.198665132	1.342743503	-1.304790293	-0.192766126	-0.041506089	-0.347077537	-0.599830338	2.1712993	-0.50302594	0.437764738	-0.050856567	-0.086580523
API5	0.902972632	0.036324774	-0.690285815	-3.155632341	-0.458088213	0.37889591	1.01835919	0.688770485	-1.415045956	-0.168785158	-0.832714842	0.469131675	-1.36912805	0.438463016	0.19232121	-0.783205945	-0.295421398	-1.714773701	0.704735472	-0.730531041	1.572275424	0.350698386	-3.042327372	-1.440280492	0.355964641	-0.412562592	-0.019685741	0.47964494	1.247860398	0.055579388	0.137863923	-0.793995568	-0.970553355	1.069348676	1.196211781	1.112843368	1.053443169	1.318260547	-0.295861402
APLNR	0.155431289	-0.804272481	1.112494211	3.103412537	-1.728100321	-1.844116055	-0.184149825	0.550598136	-1.506902569	-1.125667917	1.669608284	-1.257976819	1.214596308	0.232591625	0.120834552	-0.782661419	-0.839562371	-0.376216802	-0.826837112	-0.751706195	-1.588406992	-0.368149431	0.722064699	3.127768855	1.781166935	-0.158086975	0.021387047	0.93710487	1.159032154	-0.43055359	0.124557719	0.161063947	0.328004059	0.912452763	0.798418382	-0.109086927	-0.210868399	-0.403937567	-0.031352527
APOBEC3D	-0.145999406	-1.102935813	-1.394678998	2.275608654	-1.67671466	-0.820672649	-0.333804157	-0.32958633	-0.020070256	-0.854978752	0.884838275	-0.49570699	0.123609063	-0.598467945	-0.678745211	-0.9365182	0.120561154	2.42891394	1.463642228	1.343583487	2.059587032	0.263426947	1.832380151	-0.32163216	-1.052562852	0.191715136	-0.347023274	0.976979725	0.11682838	-0.32958633	0.037260955	0.555110485	-0.32958633	0.429835037	1.64104957	-0.94838576	2.094916277	-0.32958633	0.03124299
APOLD1	1.416601978	1.073994502	-0.155278702	-0.114752176	0.075954099	0.264564389	0.083446654	-0.945210437	-1.50893676	-0.914846464	-0.078994608	-0.408637241	-1.121064316	-2.128028571	-0.744363293	0.576983291	-0.488256596	-0.943120286	-0.09073747	-1.222469062	0.376341987	0.748105808	0.855403317	0.193494881	0.119906969	-0.172986365	-0.313050279	-0.329997087	1.093129179	-0.841462663	1.209986605	0.245447014	-0.660271049	0.667862215	1.551181738	-0.686145238	1.485354221	-0.494852765	-0.558483318
ARHGAP42	-0.30553823	-0.627625437	-1.396677546	-2.004738211	0.003389417	0.33958635	-0.774356005	-0.486361359	0.265502813	-0.204798474	1.00689155	0.2972352	-0.228149447	0.229719624	-0.200840927	-0.771118052	-0.118441735	-0.388915405	1.365620674	1.180622587	1.468458441	-1.189577898	-1.553882782	-0.517202976	-0.333792748	0.445977634	-0.173573769	0.914126505	3.869568635	-0.963107031	-0.896340821	-0.950834362	-0.047863899	-0.112305831	-0.040001311	0.492381914	-0.536232094	0.100529688	-0.373664115
ARHGAP44	0.056230713	0.112501686	0.470869649	-1.096837419	0.687203145	0.002493862	0.714479633	-0.753855846	-1.180085722	1.655387299	1.228806306	0.938319064	-1.842020919	0.848759909	0.319129427	0.104889336	-0.610280237	-0.185227242	-0.681822466	0.466980402	1.890945978	-0.006233313	-0.236514514	-1.037574722	-0.229852907	0.089901625	-0.352227955	-0.844631641	-1.368384718	-1.382593105	-0.493598805	-1.845888168	-0.523156024	1.038078145	0.287826782	-0.928143605	0.555638825	5.35E-04	-0.752830263
ARHGEF19	-0.805289938	-0.524686838	0.204283121	3.119685197	0.15275089	-2.184009581	1.011416653	0.55500931	1.151851877	0.047667266	0.71724363	-0.396038781	1.245900096	0.333354242	0.15922253	0.171446583	0.103240738	-0.611128482	-0.182659667	-0.443242562	0.275307421	-0.386657207	0.681126709	-0.473833261	2.066258513	0.821140707	-0.511083958	-0.86166594	-0.962724873	-0.651733439	0.88028908	0.458719483	-0.966770746	1.045042798	0.698986267	-0.583179785	0.662515713	0.552380278	-0.060533801
ARL8A	-0.839044765	-0.199437303	0.051290187	-1.161120569	0.234666661	0.502822918	-0.349859388	-2.041025037	0.055729623	-0.716024443	-0.467246987	-0.856323468	-0.563069412	-0.533416126	-0.504795991	1.000006896	1.605092352	-0.403254835	-0.443750325	-0.918495839	0.024353383	0.159921935	1.744256213	0.287370317	2.968843436	-0.996274859	-0.686444568	-1.316919711	0.05135305	0.233311286	-0.533416126	-0.395907242	-0.809424333	1.436596887	1.471408423	-0.18958344	1.717664053	2.412092293	0.480805497
ARMCX6	-1.183712494	-4.374601346	-0.478112527	0.014617156	-0.878286814	-0.445852015	-0.557340243	-1.097404105	0.745460785	-0.192755554	0.1547028	0.185192411	-0.344653059	-0.19477078	0.452555282	-1.019871843	0.53496977	-2.467831475	2.170939091	-0.03187269	-0.151480236	-0.22929451	0.727493625	-0.865016448	0.81992616	0.998734809	-0.644203499	-0.019100731	-0.441250819	0.34586957	0.721659061	1.518642748	-0.178494732	0.831433487	2.202058402	-0.351856357	1.679570923	1.338115876	0.309038084
ARVCF	0.625718178	0.206253308	-1.75016877	3.624773592	-0.123767668	-1.996259331	-0.137434777	0.718069452	0.698414681	-0.492146403	0.964355517	0.748581982	1.904341098	0.534741113	-0.048420807	-0.196135218	-0.04923847	-0.023362833	-0.709408233	-0.616067438	-1.390723717	-0.358235613	0.420410253	-1.12153176	0.189124352	-0.425450406	-0.240249599	-1.584230499	-1.404414738	-0.098063749	1.868269326	0.42628692	-0.471862975	1.64158514	1.495286125	-1.642318778	0.320594059	-0.399905141	-0.382131288
ASB7	-0.26620831	-0.470133528	-0.803663273	-2.909971733	1.161278102	-1.362875336	0.24730367	0.321743813	-0.448173941	0.264700271	-0.210234572	-0.108424014	-0.59075371	0.05589946	0.321211462	-0.518666428	-1.358791499	-0.131744912	0.880400478	1.135031773	0.378025238	0.56961873	-0.924141505	-0.450310453	1.830900821	-0.276683205	-0.028432015	0.797654225	-0.475559558	-2.519987734	-0.786958623	0.01833436	-1.198995776	1.180278236	1.672973469	1.365681426	0.887596753	1.702025762	-0.103285857
ASCC2	0.86818478	1.059685427	0.896280181	-0.05599363	0.990049776	0.092585821	1.06650743	0.827041126	1.035908799	0.257553103	0.749835228	0.974420385	1.681167457	1.576681818	0.272758085	-0.01404243	-0.552138338	-0.947302159	-0.694344431	-1.659036257	-0.956620141	1.282948673	1.160193161	-0.931357998	0.034366328	-2.293911601	-1.178546969	-0.459824856	-0.732935664	-1.294506845	-0.236333497	-1.174503602	-0.557456881	-0.756404619	-1.493111372	-0.046206778	-0.910595581	-1.990931078	-0.679723694
ATP11A	-0.304513198	-0.831579239	0.81019786	-1.582030062	0.764341063	0.807686831	1.159668469	-0.274446057	-0.898368314	-0.837813217	-0.861907034	0.128009818	-1.243090494	0.163537804	0.376802368	1.707649281	0.737179232	-0.321088643	0.092573182	-0.447036306	0.623695162	0.440331939	0.240870925	0.325844762	1.720601229	-1.650643708	-0.36982693	0.081428825	0.693787377	0.31166194	0.641666152	1.018376835	-1.080260427	1.217228245	0.748983782	1.233086882	0.98251176	0.492959692	1.224969562
ATP1A2	-0.152615722	-0.050504826	-0.02146023	0.042990289	-0.820745913	-0.043320581	0.249471506	-0.809193185	-0.553960696	-0.855632311	-0.507070804	-0.521034602	-0.54592746	-0.629815392	-0.730623868	-0.687928805	-0.503326563	-0.89406775	-0.861168972	-0.503084154	-0.113766325	-0.790892026	-0.194026626	-0.958383534	-0.744059403	-0.57273	-0.8392418	-0.416316588	-0.509596018	-0.499673596	-0.597018839	-0.108578295	-0.686137384	-0.432502386	-0.377284476	-0.313098734	-0.38309104	-0.308052303	-0.38204937
ATP5O	0.077767811	-0.826983716	-0.474686989	-1.43599377	0.331289252	-1.324438679	0.252723189	0.042009667	-0.748336531	-0.439419974	-2.04812783	0.399421189	-1.597350543	-0.001541986	0.441151609	0.014978679	1.173296841	1.137411567	0.797631484	1.930807731	0.790356909	0.422461477	-0.112599537	-1.152855332	-0.026441793	1.719080476	-1.017746515	0.556316865	-0.758339499	0.281979764	-0.283731149	-0.69690072	-0.730254925	0.50651187	2.275307464	0.869617856	2.201163931	1.647692328	-0.518783996
