Name	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18
AP1M1	1.310406101	-0.104469951	-0.54750451	-1.057737263	1.853748871	-0.186141221	-1.414609329	1.156760267	0.540579231	-1.327821519	0.424522148	0.601857551	1.204842704	-0.833305786	1.047808607	-0.363981991	-1.105825678	0.495924258
APBB1IP	-1.1034552	0.076243748	0.527370037	-0.64720757	-0.371738486	-1.169255726	0.016473875	2.649340671	-0.531079795	-1.177173935	-0.824148726	0.235384598	-0.764028926	-0.067222668	-0.632050212	-0.838527574	-0.361782598	0.382408202
API5	0.905874761	-0.147035345	0.200186221	-0.662630548	0.832728907	0.161966297	0.283764365	-1.000443805	0.144058494	0.073927697	-0.27684441	0.243401518	0.027465127	-0.162108113	-0.036258337	0.500454483	-0.265579815	-0.420033486
APLNR	0.307356054	0.525586285	0.434546433	-0.859423545	1.069723985	-1.560790463	-0.186469962	1.061403909	0.23243712	-1.19843117	-0.364472653	1.710545589	-0.935660675	-0.449019656	-1.269793699	0.995412579	0.379341395	0.175183594
APOBEC3D	-0.330639137	-0.286986352	-1.239542311	-0.204745007	-1.035808616	1.674478378	-0.966102919	-0.295500527	1.552207221	0.884565067	-0.445783056	-0.054446715	-0.126142744	1.255054947	-0.591668426	-0.354130111	0.813063569	-2.624473303
APOLD1	2.709508191	0.453774793	-0.645820889	-0.659742878	0.385601981	1.21794332	-1.76282445	-0.493913052	-0.159022903	-2.394178522	1.430836077	0.019144181	-1.221636685	-1.848740806	-0.972047934	-0.554765097	-1.858652264	0.668570652
ARHGAP42	0.451161845	0.829510522	1.3875719	1.965702864	0.256492152	-1.249257843	-0.176501688	-1.321779005	-0.05224138	0.062153648	-0.032307139	-0.045524987	-0.270177019	0.92935685	-0.490841899	-0.578360833	-1.497961022	0.808652579
ARHGAP44	-1.185248826	-0.765398956	0.658633549	1.866977464	-1.530112935	-0.140588311	0.307184854	-0.059533811	-0.684512037	0.616973399	1.588930318	0.55005212	1.310536299	2.688976306	-0.414801466	0.330194475	0.359723573	-1.043799688
ARHGEF19	-0.448487427	-0.128042531	-0.93628139	0.223595136	-0.59072885	-0.76037107	0.758496373	-0.085351807	9.63E-04	-0.580178972	1.188973978	2.311616146	0.547620717	-0.046288314	2.423221888	-0.053662472	0.643550583	0.587687125
ARL8A	-0.014456191	0.866398723	-0.244501526	-1.790354533	0.074834671	1.944857329	-0.400631766	0.384941244	-0.62388203	-1.308574849	-0.080424717	-0.075065233	-0.060274041	-0.227625726	-0.010489627	-0.162026949	-1.370946765	0.207798417
ARMCX6	-0.662878397	-0.232193309	-0.428145281	-1.64720119	0.825369596	0.985584911	-0.499107241	0.290588478	-0.617837027	-0.779848737	-0.731579821	-0.851524207	-0.95720593	-0.227893298	0.057929385	0.428164971	-0.582679399	-0.135857671
ARVCF	0.305463896	-0.885607602	-0.023077532	-0.063978536	-0.033382239	1.346002813	0.143125313	0.951931946	0.824884915	0.81247966	-0.661525874	1.106909636	0.367160585	1.374337275	-1.153348462	-0.123498235	0.537207948	0.070498009
ASB7	-0.717280019	-0.099101459	1.230819145	1.422636158	1.388371175	-0.915410319	1.003366851	-0.711227489	-0.036666327	-0.128395324	-0.179489534	-1.437371499	-0.449303812	0.464412166	1.4521344	-1.2218049	-0.544064444	-1.287583517
ASCC2	-1.254948132	-0.734402197	0.958758343	1.882703679	0.550965156	-0.043625849	0.412099188	0.875488388	0.21239883	0.491188084	0.451810911	1.448871406	0.897315845	1.607881754	0.425310081	0.971019004	0.7989523	0.139082485
ATP11A	0.796146539	1.666366741	-1.115493156	-1.823027061	1.748462504	-0.030809957	-0.594022209	-1.264972775	-0.537744694	-1.222573478	0.341930775	-0.925911934	-0.375871743	-1.070584102	-0.209646893	0.05119962	-1.945288607	-0.344761583
ATP1A2	-0.350142374	-0.73734541	2.218983652	1.742063456	-0.794693898	-0.12321416	-0.100822923	1.404886795	-0.162494398	-0.014821978	-0.158179826	-0.199983419	-0.094789604	-0.070536082	-0.114830526	0.110089671	-0.006627612	0.296129874
ATP5O	0.795780909	0.19783785	0.664765423	0.261853506	-0.688922317	0.270441518	-0.070241051	-1.102715965	-3.436567322	-1.364609417	-0.154701691	-1.920455342	-0.055403634	-0.149572365	-0.212377868	-0.204981131	-0.081105486	0.347579322
BEND3	0.802223192	-1.019244234	0.137463318	-0.535935811	1.065953378	0.451890287	-0.907760273	-1.682391288	0.450979758	0.150298756	-0.229468455	-0.300098731	0.932161953	0.286273973	0.79268672	0.657151654	-0.051475755	-1.380208005
BEX1	-1.418373949	-0.926272894	-0.897387617	0.242903143	-2.321063211	-0.545156044	-0.130981747	1.532209892	-0.212722006	-0.072850206	-0.048642845	-0.209056633	0.607106969	-0.079104443	0.341639642	-0.022939726	-0.200948283	0.791801286
BMP2	0.663675441	0.441326142	1.167837372	1.267069906	-0.566532156	0.155693088	-0.938302517	0.641260514	-1.366207635	0.541504975	1.338487225	-0.489459713	0.344571166	1.568532472	-0.135900155	0.140902671	0.582169226	-0.571985693
BMS1	1.163638169	0.19319492	-1.571793573	-1.182747497	-0.464712847	1.085104611	-0.308495011	-0.811313073	-0.3749817	-0.079318101	-0.415340702	0.123711022	0.168553896	0.671722969	2.325140059	0.098079966	0.4031496	-0.980169024
BMS1P20	-0.980202927	1.183165544	1.831669587	-0.024133738	-0.281882278	0.586488582	1.548415153	-0.17134712	-0.824677067	0.318989491	-0.022084042	0.331540465	-0.65188793	0.684692944	0.003736845	0.075543725	0.066769162	0.136280017
BPNT1	0.685341651	-0.458468473	1.128644572	1.307002088	-0.97689301	0.427868786	-0.122299188	-0.75476308	-1.826836039	0.760128295	-0.107971073	-0.425052459	-0.613258775	0.326467434	-1.54646464	-0.63454458	-0.775600156	-0.563207116
BRAT1	0.550165598	0.948830876	-1.240766771	-1.457568157	1.621318943	-0.324675072	-0.013858769	-0.377888877	1.08149133	0.68520141	0.335536693	-0.074695706	0.930906608	0.34252156	0.953038839	1.437145394	0.310294671	-0.094775121
BSDC1	0.493483308	0.239041024	-0.495703871	1.435803574	-0.907155872	0.250515922	0.4632915	0.939008409	1.444620469	1.29426077	1.84450387	0.569817631	2.203940228	0.730130313	0.259204046	0.694060038	0.751571413	0.356359686
BST1	-0.71832583	-0.362746381	1.468371907	0.220769227	-0.148066555	-0.263373199	0.059920738	0.635079196	-0.439146545	0.185617054	-0.127483104	1.087095667	0.533343648	2.937714468	-0.666248587	-0.23988979	1.172827233	2.310447761
BTBD16	0.598652317	-0.602505908	0.567041907	-1.500976306	-1.512508601	0.319388992	-0.584436916	-0.242093067	0.202356248	-0.030091044	0.16868191	-0.559323178	-0.757900689	-0.947597697	0.518562734	-0.747167503	-0.611597002	0.699850138
BTD	-0.859898503	-0.033661148	1.057727516	0.761171944	-0.066734374	-0.165414555	0.86658111	1.388321907	-0.089585581	0.315648278	1.077039292	0.785656199	-0.655376723	0.289107674	-0.600672467	0.048875349	0.877989454	1.40194106
C10ORF12	-1.11705083	-0.103675063	-0.285913752	1.441273138	-0.005252575	0.676368863	-0.800160808	-0.723134039	0.595875523	-0.395123416	0.341244265	-0.214995943	-0.30004137	0.275874726	-0.197058615	0.597999901	-1.892857462	-1.040174669
C12ORF65	1.484696923	0.639859582	0.203873891	-0.153359105	1.838043343	-0.568695262	1.007311038	-0.717528067	1.14602965	0.590441193	0.309654976	0.221110626	1.000579047	0.236310323	-0.011265953	0.8507849	1.279937879	-0.974351071
C14ORF79	0.342575158	-1.592111543	-1.645979093	0.422581808	-0.166034565	0.587295339	0.584441663	0.184484747	-0.251001324	1.713046645	0.859128416	0.744067598	-0.37029491	0.723613989	2.127904653	-0.339282211	2.079225731	0.564449015
C17ORF53	-1.050679777	0.299660256	-1.779193137	-1.501551583	-0.596496946	0.712050242	0.256683453	-1.380877779	-1.022468803	-0.170757229	0.102117419	1.362641893	1.937518618	0.542231552	1.28785833	0.557473982	-0.223291865	-0.431659192
C19ORF33	-1.107972616	0.095845553	0.959925516	1.029944422	-1.545777647	0.349180984	0.146101711	-0.203133458	0.346302085	0.811086646	1.009193445	0.502129768	-0.621020852	0.708487176	0.258365116	-0.980273219	0.351225918	0.396289873
C1ORF105	-1.200708966	0.251373438	-0.384051816	-0.775612	-1.025939412	0.895387642	0.717823778	0.578168983	2.105344375	0.839971781	-0.205625269	0.473649419	0.854492932	-0.168795494	-0.011121182	0.307921748	-0.288881146	0.213548456
C1ORF74	-0.523865929	-0.180439515	-0.423067389	0.568745103	-0.217619398	-0.194501809	-0.182995026	-0.968720146	-0.143150637	-0.637687314	0.335723821	0.608505592	0.035127342	-0.060425462	1.186972363	0.071672417	0.882872244	-1.03859398
C1QB	-0.214385898	-0.104422338	0.944295193	-0.833468722	0.530962395	-1.92259835	-0.948798089	2.990580674	-1.380647745	-1.347252721	0.120566343	0.988474659	-0.799059592	0.524233987	-0.80673773	0.331846858	-0.979571411	1.205340184
C1QC	-0.168180764	-0.005059641	1.181765984	-0.44896512	0.667949328	-0.552613759	0.161597973	3.077062427	-0.591203547	-0.431302409	0.149099683	0.93112515	-0.217724768	0.721190321	-1.483425699	0.391319102	-0.640207976	0.842423551
C7ORF49	-0.349587465	2.697630556	1.416421315	-1.398716508	1.727731016	-0.689964262	0.801258949	0.01967817	-0.33966399	0.67908938	-0.25971586	0.740232048	1.14177422	1.168929957	0.07247984	0.135807012	-0.392436873	-0.688497808
C8ORF59	1.605619075	0.523933091	-1.290943681	-1.494694649	1.965867571	-0.715071865	-0.473704891	-1.750201926	-0.45305249	-0.642969501	-0.046958264	-0.056942956	-0.271835289	-1.012137033	0.282144992	-0.319491009	-1.224056036	-0.181662786
C8ORF60	-0.259656604	0.219846866	-1.349657106	-1.613559657	-1.285115762	-0.250933672	0.726260529	1.137630381	1.08232215	0.48000345	-0.083523589	-0.01931846	-0.888910302	0.247624064	-0.100317841	-0.974887589	-0.384153594	0.502574258
CA12	-0.736379644	-0.153742038	1.163918715	1.618057584	-2.23445136	0.221724517	0.351493784	1.264642529	-0.776556093	0.622263438	0.832337838	0.897420672	0.085554831	1.533582819	-0.095248655	0.391677563	1.104450358	0.90844653
CA4	-0.282830623	0.386714054	1.574287261	1.263325918	-1.020552696	1.133012304	-0.145692451	0.876872008	-0.491066844	1.876589156	1.928511731	1.219762759	1.131091368	-0.234593147	0.717732227	0.334451437	-0.514516117	-0.375194009
CACNA2D1	0.03493026	0.619403624	0.760635426	-0.555672603	2.020249505	-1.22130314	-1.115924419	2.448565708	-1.10659699	-1.218264554	-0.881219628	-0.052178803	-1.280961428	-1.384925064	-0.574883367	-0.996869862	-1.259784152	0.381586757
CAMTA2	-2.130957079	-0.351359976	0.598291299	1.02151436	-0.714083136	-0.137786097	-0.587286754	1.129337039	0.759237643	0.093147619	0.337297702	-0.213764132	-0.190654608	1.825011739	0.453791161	0.043689465	0.455946835	-0.011344643
CANT1	-0.331951435	0.821830147	1.595916085	0.950208872	-0.468233405	0.281557566	-0.112675567	0.308930676	-0.708044678	1.286198175	0.618612924	-0.053958181	0.334204032	0.283656846	-0.567220263	-0.055305856	0.654264836	2.876559512
CAPN10	0.544103514	-0.617053299	-0.217745697	-1.0142799	1.851067939	0.885379907	0.639497337	-0.551500707	1.612818033	-0.008062639	-0.318060819	1.143939261	0.155625677	0.559414171	0.711598653	1.466434494	0.940897042	-0.826890808
CAPN5	-0.966734881	-0.230302945	0.792212668	1.423698646	-1.606113743	0.136541694	0.540443096	-0.116564142	0.622711185	1.745438784	0.795287977	0.237917554	0.040679387	1.110217697	-0.796382872	0.132609539	0.691379223	0.503102787
CASD1	-0.480166447	0.445855262	1.507239058	2.138109381	-0.451407307	-0.785787065	-1.315019766	0.045192597	-1.631130858	0.479543001	-0.932013101	-0.517541092	-1.048148354	0.558456981	-0.70197552	-0.740139773	-0.918071435	1.157401377
CASZ1	0.963306802	-1.054358329	-0.270420044	0.934303452	-2.093756049	0.225622069	0.409306137	0.329781667	0.205401805	0.871615068	0.299535001	0.445348811	0.179812355	1.593369792	-0.221278649	0.150061996	0.230262957	0.069386179
CAT	0.172961518	-0.932934705	0.986702702	0.165078966	-0.352770799	-0.740323768	0.670796231	1.084223466	0.286844637	-0.917634611	1.187495951	0.809944085	1.118653496	0.961807501	0.401679858	0.700989326	0.14122109	1.376382915
CCBL1	-0.727901569	0.384717722	-1.298746752	-1.416658239	-0.532285311	-0.140983921	0.827773785	0.048597664	1.286439564	-0.04082806	-0.972367588	-1.136099033	2.692415343	-0.116330705	0.490913623	-0.091959011	1.515476556	-0.215405647
CCDC178	-1.849293904	-0.125625078	-0.160850849	0.213507209	-2.179747419	0.71047332	1.112524079	0.74622577	0.916051241	2.133034628	-0.287151527	0.026368908	-0.027585207	0.572921245	-0.239412556	-0.105200627	-0.443079691	-0.521818819
CCDC64	1.51941321	0.263393539	-0.895057181	-0.093820803	-0.471265131	-0.325974985	0.349084887	-0.192310423	0.92702737	1.553260945	-1.49E-04	-0.913255754	-0.76979157	0.360974184	0.33079962	0.356948367	0.333969752	1.098356938
CCDC80	0.66007349	-1.145013251	0.344731567	0.055818128	-0.460594379	0.452324057	0.187985007	2.986134927	-0.050625869	0.961433451	0.588878939	0.20876653	-0.061105106	0.285008525	0.673109345	0.164919699	0.10414076	0.836674974
CCDC96	-1.20137196	-0.218124833	1.202007234	0.087937187	-1.196246852	0.193473253	-1.133098888	1.341444306	0.558611095	-0.352920452	-0.199089725	0.279717386	0.87832651	0.712510066	0.115746184	-0.676317707	1.13950931	0.264814688
CCL13	-1.221469869	-0.064552339	2.040615627	1.191831637	-1.061254955	1.029896144	-0.038828658	3.535012404	-0.440871166	0.363336228	0.332337852	0.767137479	0.120618134	0.105497432	0.334073115	-0.077037125	1.439225282	2.253302471
CCL20	0.754078104	-0.226076636	-0.261919241	-1.613344623	0.432227666	-0.22926444	0.419983051	-2.284506692	0.211977861	-0.986531861	0.48107953	-0.760893583	0.45878952	0.757427501	-0.593585761	-0.512086861	-0.707777339	-1.345708049
CCNB1IP1	1.304603016	-1.207352155	-0.970403403	-0.466917839	0.858688402	0.196119283	-0.231504724	-0.505756258	0.402773495	0.078484351	0.356409658	0.76881754	-0.739279887	-0.349836056	1.457871774	-0.080331362	1.107495376	0.794190324
CCR10	-0.28443007	0.088754958	2.741129733	-0.680474693	-1.005033365	-0.653715738	0.390984607	0.070745365	-1.06962041	0.201602956	-0.466349485	-0.450752429	-0.942445531	0.059279123	-0.996967708	-0.40243277	-0.669985512	0.153196671
CCT4	2.061227966	-0.77826453	-2.898628716	-1.649335346	-1.036626822	1.649461616	1.192502729	0.224570567	-1.245823123	1.565868914	-0.317542259	-0.277252477	0.569936169	0.778222703	0.89659898	0.31527071	-0.007885136	0.274719447
CD14	0.090356935	-0.298303499	0.432139106	-0.599380262	0.009538842	-1.676478278	-1.082350724	2.625693309	-1.002620741	-0.333252801	0.226530642	0.184628337	-0.881144112	-0.431853525	-0.485407326	0.30936722	-0.33191627	0.872605681
CD36	-1.210693608	0.290328018	1.274378871	0.985295116	-0.568478192	-0.49180798	-0.939127752	0.257433358	-0.397158418	0.038110602	-0.336605794	0.050496644	-0.742103935	-0.653250358	-0.478895101	-0.147201701	0.043214747	2.495484692
CD81-AS1	-0.346880928	-0.993433012	-1.115684209	-0.763544294	-0.879934866	1.567373287	-0.387629119	-0.922871765	-0.607856669	1.434122182	0.274209505	-0.406022222	-0.570846408	1.1279594	-1.142972803	-1.354595053	-1.213422387	-0.38327724
CDC25A	1.524412198	-0.770332318	-1.903021402	-0.918402155	1.308369308	0.408683786	0.681600755	-2.066945529	-0.395399422	-0.330600096	-0.072351976	0.28252806	1.58734414	0.139281277	-0.237351225	-0.102979122	-0.32404249	-2.396530079
CDCA2	1.220459743	-0.004621764	-1.409112286	-1.693614556	1.582385023	1.009531988	0.353399888	-2.327899184	-1.669829292	-0.461488758	-1.52701062	0.075151064	-0.545154739	0.584579347	-0.232932998	-0.327850115	0.811630907	-1.846165146
CDH6	1.407870177	1.609855104	-1.176659582	-1.239877665	0.856521103	-0.410214363	-0.816297528	1.20699971	-0.394042328	-1.503830253	-0.761693749	-0.422774985	-0.895654511	-0.366610419	-1.083351726	-0.267611248	-0.630892019	-0.523242964
CDHR2	-1.66240142	0.264655414	0.910596149	0.83303828	-0.415509566	0.530703435	1.025140684	1.177496568	1.116609248	1.384694946	0.626782153	1.029809942	1.094144073	-0.456099379	0.270750795	0.273308732	0.074271053	-0.035453349
CEACAM7	0.096500331	0.402642569	0.826017159	0.819371295	-2.510679188	1.201563972	1.209063802	1.011211389	0.455256205	1.276206956	1.145960225	1.014867685	0.914840704	1.358920371	0.734604311	0.810045705	0.064616667	0.287290143
CENPL	1.429700322	0.953097009	-1.624425773	-0.563793126	-0.427925206	0.488178566	-0.501984805	-1.661803957	-1.2677041	1.395459199	-0.60420355	0.057297132	0.57843348	-0.183184964	0.08590859	0.321438118	0.226506885	-1.379131309
CEP104	1.397076494	0.338205501	-0.483025573	-0.640048762	-0.066413221	0.145201905	0.076795494	0.133665686	0.577589786	0.163271511	0.856159574	0.555066653	0.008182257	0.563264123	-1.114205143	1.722320246	0.834023876	0.382041962
COL11A1	0.978746185	0.605559987	-0.734542495	-0.898635503	2.727299523	-1.575311494	-1.462367085	1.833590071	0.337256266	-1.517504183	-0.203261934	0.747511578	-1.736249799	-0.929348565	-0.115137367	-0.293918792	-0.167180464	1.295713549
COL17A1	-0.570176549	0.51210122	1.238107361	0.566694292	-1.31674103	0.117219147	1.687565532	0.864245817	-0.27784323	1.339726833	0.529544468	0.953478194	-0.261086555	0.530542512	-0.204177272	0.237802198	-0.242043488	0.316768445
COL27A1	-0.610106001	-0.198148417	-0.916536522	-0.853496259	1.488755088	-0.707442001	-1.40694222	0.400711052	-0.258567232	-1.178745706	-0.073838656	-0.052196167	0.042737448	-0.809656928	0.763475081	0.04677804	-0.614292746	-0.528719181
COMT	-0.290570827	-0.806252868	-0.442495149	-2.435039116	1.779604065	0.494488299	0.479375366	0.75992128	2.415533951	0.811668727	0.453727475	0.576689472	1.728514609	0.369052175	0.852648081	0.80520408	0.614773231	-0.462838894
COPS7B	1.742598694	-0.242730912	-0.879639367	-0.929375775	0.399634936	0.643737585	0.73649703	-0.974105897	0.529266709	0.167277856	-0.666223959	-0.225592407	2.415159195	0.437095985	1.932348722	-0.005726262	0.267453537	-0.812003548
CPNE1	1.728214639	2.416081249	-1.083530494	-1.983880176	-0.938435054	0.378428506	1.080282196	-0.312781466	0.502069636	0.210579254	0.952556441	0.629143997	1.470536042	-1.004217142	0.971520715	1.43898616	-0.559090333	1.474719363
CR2	-1.274517385	1.240089701	0.107884116	0.2883284	-0.704898037	0.256298514	0.934144477	1.005884751	-0.716209327	-0.498130679	0.150936161	-0.155573341	0.971903216	-0.188621267	2.005928834	-0.341608492	0.170794676	-0.72204162
CREBL2	0.397407325	-0.402114088	1.74377971	0.566632519	0.184239228	-2.247484391	-1.084145673	0.993711307	-0.074447877	-0.154603677	0.55372649	-0.152510112	-0.925965876	-0.81213652	-0.551763595	-0.56460699	-0.048102285	1.657663261
CRIP1	-0.504127767	0.138273578	-0.986217793	-0.134232007	-0.820622632	0.417673449	0.359861201	0.536446302	-1.74820079	1.288918164	0.684650832	0.878062588	-0.648093678	1.233981457	0.980409439	0.154319218	2.005015685	0.322188042
CRYL1	-0.213492985	-0.47377301	0.918916737	1.145351797	0.959573657	-1.382619226	0.611435448	0.10012701	-0.132952321	-0.903467222	0.432564094	0.935075585	-0.139024122	0.632055316	-1.061276909	0.500472981	-0.248517923	1.641070179
CSF1R	-0.907850985	0.040141793	1.278666216	-0.79806405	0.819002988	-0.472815054	-1.42666315	3.585931997	-0.678338709	-1.057067253	-0.753803794	0.282877222	-0.647078705	0.042693077	-0.640901598	-0.169783185	-0.739383921	0.726397537
CSGALNACT2	0.044514463	1.069590649	0.216112863	-1.697122727	1.040193427	-0.897473307	-1.214888413	1.62856227	-1.040491731	-1.065648809	-0.80664635	-0.350404028	-1.755042287	-1.868171123	-0.494391045	-0.769805181	-0.671271131	-0.157512603
CSNK1G2	1.143274979	-1.014509747	-0.912100788	-1.130469044	2.030341566	0.163289096	0.543198787	-1.281713352	0.064393084	-0.441433676	0.733646531	-0.727199948	0.219660391	-0.058696451	-0.737438243	0.273286975	-0.351333062	-0.68402621
CSPP1	0.6737975	0.595556005	-0.069387954	-0.19682112	2.184763349	-0.315558023	0.2810619	-1.511728906	-0.065094148	0.580621488	0.024648433	0.007708054	-0.287218431	-0.032667312	0.262371211	0.048387994	-0.78606517	-0.840675415
CTSH	0.45750684	2.125783598	-0.978086984	-1.951057951	0.951923011	-0.583187812	-0.472112203	0.848786376	0.106944513	-0.516938322	0.758799538	0.974518718	0.359111934	-2.855765818	0.407445597	-0.148107217	-0.890605161	1.293865498
CTSS	-0.420767297	-0.09662625	0.948717315	0.007782505	-1.585443622	1.239346111	0.761426034	0.578243996	-1.648331694	1.119760885	0.614224454	0.672675444	-0.064104903	1.035565854	-1.545881411	0.41939837	-0.086709807	0.211118374
CTSV	1.315630392	0.93176787	0.143695064	-0.805250551	-0.038704473	-0.918314556	0.6268103	-0.319195918	-0.121446575	1.268938139	-0.312788158	1.083867033	0.666254483	-1.470275572	-0.091213164	0.058201129	-1.455200996	-0.791797456
